empresa,indice,tipo,divisa,strategy,buy_date,sale_date,Vendida,year,share_price,share_number,fee_in,invertido_total
Renta 4 Multigestión Numantia,Numantia,FUND,EUR,Standard,5/03/2026,,FUND,2026,"150,00 €",,"0,00 €","150,00 €"
Repsol,BME:REP,SHARE,EUR,Standard,6/01/2026,02/03/2025,SOLD,2026,"16,65 €",50000,"1,50 €","833,75 €"
Repsol,BME:REP,SHARE,EUR,Standard,6/01/2026,23/03/2026,SOLD,2026,"16,65 €",10000,"1,50 €","167,95 €"
Repsol,BME:REP,SHARE,EUR,Standard,8/01/2026,23/03/2026,SOLD,2026,"16,26 €",15000,"1,15 €","245,05 €"
Repsol,BME:REP,SHARE,EUR,Standard,8/01/2026,,BOUGHT,2026,"16,26 €",25000,"1,15 €","407,65 €"
Rezolve AI,FRA:O5F,SHARE,EUR,Standard,10/03/2026,,BOUGHT,2026,"2,49 €",100000,"1,00 €","250,00 €"
Rezolve AI,FRA:O5F,SHARE,EUR,Standard,13/03/2026,,BOUGHT,2026,"2,48 €",100000,"1,00 €","249,00 €"
Salesforce,FRA:FOO,SHARE,EUR,Standard,12/09/2025,17/10/2025,SOLD,2025,"207,05 €",2000,"0,50 €","414,60 €"
Salesforce,FRA:FOO,SHARE,EUR,Standard,12/09/2025,17/12/2025,SOLD,2025,"207,05 €",607,"0,50 €","126,27 €"
Salesforce,FRA:FOO,SHARE,EUR,Standard,29/10/2025,17/12/2025,SOLD,2025,"216,95 €",2393,"0,50 €","519,57 €"
Salesforce,FRA:FOO,SHARE,EUR,Standard,29/10/2025,,BOUGHT,2025,"216,95 €",2000,"0,50 €","434,40 €"
Salesforce,FRA:FOO,SHARE,EUR,Standard,13/11/2025,,BOUGHT,2025,"212,15 €",1000,"1,00 €","213,15 €"
Salesforce,FRA:FOO,SHARE,EUR,Standard,14/01/2026,,BOUGHT,2026,"207,55 €",2000,"1,00 €","416,10 €"
Sanofi,EPA:SAN,SHARE,EUR,Standard,20/05/2025,25/02/2025,SOLD,2025,"94,10 €",2657,"2,66 €","252,66 €"
Sanofi,EPA:SAN,SHARE,EUR,Standard,13/11/2025,25/02/2025,SOLD,2025,"90,31 €",3343,"2,20 €","304,13 €"
Santander,BME:SAN,SHARE,EUR,Standard,28/10/2025,,BOUGHT,2025,"8,52 €",30000,"1,51 €","257,14 €"
Santander,BME:SAN,SHARE,EUR,Standard,28/10/2025,,BOUGHT,2025,"8,63 €",40000,1690,"346,77 €"
Santander,BME:SAN,SHARE,EUR,Standard,28/01/2026,,BOUGHT,2026,"10,62 €",30000,"1,69 €","320,29 €"
Santander,BME:SAN,SHARE,EUR,Standard,25/02/2026,,BOUGHT,2026,"10,64 €",40000,"1,85 €","427,29 €"
Santander,BME:SAN,SHARE,EUR,Standard,3/03/2026,,BOUGHT,2026,"9,66 €",30000,"1,58 €","291,38 €"
Telefonica,BME:TEF,SHARE,EUR,Standard,2/12/2025,,BOUGHT,2025,"3,67 €",220000,"1,00 €","808,40 €"
Telefonica,BME:TEF,SHARE,EUR,Standard,26/02/2026,,BOUGHT,2026,"3,67 €",70000,"1,00 €","257,90 €"
Tesla,Tesla,SHARE,EUR,Standard,15/05/2025,20/05/2025,SOLD,2025,"305,60 €",818,"1,00 €","251,00 €"
UnitedHealth Group,FRA:UNH,SHARE,EUR,Standard,20/05/2025,15/09/2025,SOLD,2025,"289,25 €",328,"1,00 €","96,00 €"
UnitedHealth Group,FRA:UNH,SHARE,EUR,Standard,15/08/2025,15/09/2025,SOLD,2025,"262,15 €",1526,"1,00 €","401,15 €"
UnitedHealth Group,FRA:UNH,SHARE,EUR,Standard,13/01/2026,,BOUGHT,2026,"291,80 €",4000,"1,00 €","1.168,20 €"
UnitedHealth Group,FRA:UNH,SHARE,EUR,Standard,17/02/2026,,BOUGHT,2026,"247,55 €",2000,"1,00 €","496,10 €"
