estado,empresa,indice,tipo,acciones,precio_medio,coste_total,comisiones,precio_actual,valor_actual,pnl,pnl_pct,div_yield,div_rate,next_ex_div,operaciones,invertido,aportaciones
SOLD,Core S&P500 USD,AMS:CSPX,ETF,,,4701.14,6.0,,,,,,,,15.0,,
SOLD,CoreWeave INC,FRA:I1V,SHARE,,,2600.62,7.0,,,,,,,,10.0,,
SOLD,Hubspot,FRA:096,SHARE,,,1207.01,2.0,,,,,,,,2.0,,
SOLD,IAG,BME:IAG,SHARE,,,3844.19,15.34,,,,,,,,10.0,,
SOLD,IBEX 35 EUR,EPA:CS1,ETF,,,1122.16,1.5,,,,,,,,3.0,,
SOLD,Inditex,BME:ITX,SHARE,,,574.49,3.1399999999999997,,,,,,,,2.0,,
SOLD,Meta Platform,FRA:FB2A,SHARE,,,560.6,1.0,,,,,,,,1.0,,
SOLD,Microsoft,FRA:MSF,SHARE,,,1302.88,2.0,,,,,,,,2.0,,
SOLD,Nvidea,FRA:NVD,SHARE,,,5443.51,11.0,,,,,,,,14.0,,
SOLD,Pfizer,FRA:PFE,SHARE,,,441.2,1.0,,,,,,,,1.0,,
SOLD,Physical gold,FRA:PPFB,ETF,,,3414.36,4.5,,,,,,,,14.0,,
SOLD,Repsol,BME:REP,SHARE,,,1246.75,4.15,,,,,,,,3.0,,
SOLD,Salesforce,FRA:FOO,SHARE,,,1060.44,1.5,,,,,,,,3.0,,
SOLD,Sanofi,EPA:SAN,SHARE,,,556.79,4.86,,,,,,,,2.0,,
SOLD,Tesla,Tesla,SHARE,,,251.0,1.0,,,,,,,,1.0,,
SOLD,UnitedHealth Group,FRA:UNH,SHARE,,,497.15,2.0,,,,,,,,2.0,,
FUND,Cartera Indie,,,,,,,,,,,,,,,2270.0,5.0
FUND,Fidelity S&P500,,,,,,,,,,,,,,,100.0,1.0
FUND,Fondo Tesys,,,,,,,,,,,,,,,1200.31,2.0
FUND,Japan Deep Value,,,,,,,,,,,,,,,2200.0,2.0
FUND,MSCI Europe,,,,,,,,,,,,,,,100.0,1.0
FUND,Renta 4 Multigestión Numantia,,,,,,,,,,,,,,,2150.06,4.0
